"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.949515287162514,0.00937458884274681,101.286072711035,0
"2","Density",-0.00836932122433013,0.00509637699857036,-1.64220999087742,0.100546492885152
"3","pH",-0.00628158338586066,0.00512571562139293,-1.22550368569874,0.220385502256358
"4","Sulphates",-0.0059506050600755,0.00509923506667956,-1.16696033469003,0.243226388362705
"5","Alcohol",0.0111155188193404,0.00512360893687355,2.16947057363109,0.0300469760677165
"6","LabelAppeal",0.142091555531213,0.00581487128173768,24.4358900905457,7.10897404465956e-132
"7","AcidIndex",-0.478642883344894,0.0471301289733339,-10.1557728309148,3.12325768886791e-24
"8","STARS",-0.207249620139319,0.0328705434224249,-6.30502567225369,2.88146132281823e-10
"9","STARS_NA",-0.392818348199858,0.00778824779742976,-50.4373202313226,0
"10","Sulphates_NA",-0.00275623284364731,0.0051427909576468,-0.53594106125373,0.591999284938393
"11","TotalSulpherDioxide_NA",0.00294288846948975,0.00504507723322211,0.583318814251379,0.559678699361832
"12","Alcohol_NA",0.00182726348927638,0.00507649407165791,0.35994595157276,0.718887552517519
"13","FreeSulfurDioxide_NA",0.00356928113936289,0.00508589429685475,0.701800102603436,0.482803834791186
"14","Chlorides_NA",-0.000782154188322411,0.00507035260169923,-0.154260314767909,0.877404486942157
"15","ResidualSugar_NA",0.00300132870422339,0.00501098447543992,0.598949910727851,0.549206287044764
"16","pH_NA",-0.00631461106593682,0.00517435496328014,-1.22036681108052,0.222325852946682
"17","inter_Starsna_labelappeal",-0.0929728756190568,0.00880663977993653,-10.5571339287511,4.70817957410373e-26
"18","inter_stars_acidindex",0.440939651996634,0.0333851786601969,13.2076469167541,7.92637028166949e-40
"19","logAcidIndex",0.197680675758557,0.0433734470037995,4.55764273799223,5.17309331772441e-06
"20","VolatileAcidity",-0.0275790820407565,0.00653923825180821,-4.21747625315998,2.47051827711749e-05
"21","ResidualSugar",1.95150964321545e-05,0.000151231881312224,0.129040889148663,0.897325294422552
"22","CitricAcid",0.00513569876229768,0.00589068011213081,0.871834603906197,0.383298613863297
"23","Chlorides",-0.0321089502225619,0.0160359670120681,-2.00230832343306,0.0452515813724934
"24","FreeSulfurDioxide",9.58974679807316e-05,3.42489633398906e-05,2.80001082161332,0.00511008934753873
"25","FixedAcidity",0.000117440356931831,0.00081958734147703,0.14329205807423,0.886059527846763
"26","TotalSulfurDioxide",6.61493353130407e-05,2.22108704069583e-05,2.97824146920047,0.0028990748856672
