term,estimate,std.error,statistic,p.value
(Intercept),4.051656393345278,0.5723468002590013,7.079023402440271,2.335243916956298e-12
Id,-9.894820752612957e-6,6.394570317535935e-6,-1.5473785197854855,0.12200812377384229
LotArea,5.959111510056978e-6,9.588197842383062e-7,6.215048550328926,6.837754762910597e-10
OverallQual,0.046479008295971784,0.003894791292246939,11.93363258988844,2.8519585777306203e-31
OverallCond,0.038365075490829334,0.0034637829556079776,11.076062207857172,2.4175016666117793e-27
YearBuilt,0.0026462597334993678,2.6727994675551046e-4,9.900704357442821,2.3665877326586636e-22
YearRemodAdd,8.187813520386308e-4,2.5605042331056967e-4,3.1977348111840898,0.0014174967416223968
BsmtFinSF1,1.7047634025850274e-4,1.494063704352566e-5,11.41024574533631,7.597828221481119e-29
BsmtFinSF2,1.3379601814249835e-4,2.2026068780509546e-5,6.074439314422369,1.6183087765598666e-9
BsmtUnfSF,1.0335597215104456e-4,1.3171133965855932e-5,7.847158218797142,8.645502515991467e-15
X1stFlrSF,2.4904521509639587e-4,1.6582015822210846e-5,15.01899514308817,3.0669491777873034e-47
X2ndFlrSF,2.474823709542638e-4,1.2956345030330388e-5,19.101248876509196,3.990902453612298e-72
LowQualFinSF,1.4659057323600707e-4,6.278240260820441e-5,2.334899066396204,0.019695723915636263
BsmtFullBath,0.025958921076692267,0.007452459518329936,3.4832689815817406,5.112826375952804e-4
FullBath,0.021299763563462137,0.008661777802650844,2.459052177134303,0.014056092901447796
HalfBath,0.02057436714126154,0.008208110726658096,2.506589862931628,0.012307868441829729
KitchenAbvGr,-0.0479100092642267,0.018465542061798845,-2.5945628405538117,0.009574480460638073
Fireplaces,0.01836281577096332,0.005434230002024968,3.3791016876578186,7.48122518229651e-4
GarageCars,0.029135456130312393,0.009088857836676461,3.205623484695895,0.0013794981660355372
GarageArea,6.1007846796927914e-5,3.028270806291706e-5,2.014610010114504,0.04414498088295408
WoodDeckSF,8.65490477216463e-5,2.446688162480319e-5,3.53739593990219,4.1788819275200386e-4
OpenPorchSF,1.081375513163985e-4,4.725882556955451e-5,2.2881980246683025,0.022281111333097476
EnclosedPorch,1.2413195536935544e-4,4.973414932871347e-5,2.495909893801867,0.012682895193897857
X3SsnPorch,1.8840002519353988e-4,9.20438389544034e-5,2.046851015056742,0.040867442294901635
ScreenPorch,2.1328132868151392e-4,5.172958320946271e-5,4.123004970248806,3.969425834277501e-5
PoolArea,1.359586760892535e-4,7.694361716267571e-5,1.7669909617298987,0.07745734058422017
MSZoning_C..all.,-0.4059419172548063,0.03562213579938243,-11.395777039900118,8.840942483327823e-29
MSZoning_RM,-0.0437028676428198,0.010735396342889378,-4.070913289733036,4.9568147008446144e-5
LandContour_Low,-0.03428981916195147,0.022281166636905193,-1.538959773549553,0.12405020712954959
LotConfig_CulDSac,0.025076781740887732,0.011721235982382661,2.1394315222881635,0.03258097421068891
LotConfig_FR2,-0.029433245389173184,0.01534712451246508,-1.9178345341022824,0.05534435082786855
LandSlope_Sev,-0.09561674344809093,0.04622380312169413,-2.068560719600662,0.03877877050377159
Neighborhood_BrDale,-0.04759475013517032,0.031824715653001094,-1.4955278989486305,0.13501218685877941
Neighborhood_BrkSide,0.058723695399790776,0.015693131888124608,3.741999737109741,1.902800209798052e-4
Neighborhood_ClearCr,0.03651462316818359,0.025498854947074944,1.4320103096383274,0.1523740802395673
Neighborhood_Crawfor,0.14982786677230522,0.01676264231207356,8.938201029582867,1.2799316528598295e-18
Neighborhood_Edwards,-0.036068353990675525,0.011928804819695988,-3.0236351869151252,0.002545042702138262
Neighborhood_MeadowV,-0.13921413688906747,0.0333463609281089,-4.17479248153038,3.1750040199933523e-5
Neighborhood_Mitchel,-0.028972310247793287,0.015812323346905,-1.8322614338306036,0.06713430540978794
